CORR_ANS,context,file_OTH,file_TGT,file_X,speaker_OTH,speaker_TGT,speaker_X,tripletid,vowel_OTH,vowel_TGT,vowel_X,vowel_eng,vowel_fr,word_OTH,word_TGT,word_X,mfcc_oth_x,mfcc_tgt_x
A,V_SH,maureen_fr_36,veronique_eng_60,jeremy_eng_63,maureen,veronique,jeremy,triplet85,U,AE,AE,AE,U,VUSH,VAESH,VAESH,0.49104742011166896,0.37444102279990477
B,V_P,maureen_eng_14,veronique_fr_44,marc_fr_40,maureen,veronique,marc,triplet86,UH,E,E,UH,E,VUHP,VEP,VEP,0.3296557432673226,0.3300785565375647
B,V_Z,maureen_fr_129,veronique_eng_116,jeremy_eng_120,maureen,veronique,jeremy,triplet87,Y,AH,AH,AH,Y,VYZ,VAHZ,VAHZ,0.8552727684089877,0.4724308701199133
A,S_G,maureen_eng_6,veronique_fr_71,remi_fr_221,maureen,veronique,remi,triplet88,UH,I,I,UH,I,SUHG,SIG,SIG,0.3460439339586752,0.24273005082487298
A,V_K,veronique_fr_203,maureen_eng_15,jeremy_eng_15,veronique,maureen,jeremy,triplet89,O,UH,UH,UH,O,VOK,VUHK,VUHK,0.5360343419053679,0.6398689381263828
B,V_F,veronique_eng_59,maureen_fr_68,marc_fr_60,veronique,maureen,marc,triplet90,AE,E,E,AE,E,VAEF,VEF,VEF,0.6428618121560636,0.4654300785602312
B,Z_V,maureen_fr_119,veronique_eng_49,ewan_eng_53,maureen,veronique,ewan,triplet91,Y,AE,AE,AE,Y,ZYV,ZAEV,ZAEV,0.8959801642470254,0.4262875460627642
A,Z_B,veronique_eng_64,maureen_fr_39,marc_fr_34,veronique,maureen,marc,triplet92,AH,E,E,AH,E,ZAHB,ZEB,ZEB,0.4761513823863352,0.5148951201096518
A,V_SH,veronique_fr_128,maureen_eng_236,jeremy_eng_238,veronique,maureen,jeremy,triplet93,Y,IH,IH,IH,Y,VYSH,VIHSH,VIHSH,0.3689125597804056,0.36686691371880265
B,Z_D,maureen_eng_216,veronique_fr_69,marc_fr_66,maureen,veronique,marc,triplet94,IH,I,I,IH,I,ZIHD,ZID,ZID,0.5732586356618178,0.40739050983292824
B,Z_SH,veronique_fr_150,maureen_eng_231,ewan_eng_237,veronique,maureen,ewan,triplet95,O,IH,IH,IH,O,ZOSH,ZIHSH,ZIHSH,0.3334698246996083,0.23486782189492997
A,V_SH,veronique_eng_101,maureen_fr_114,remi_fr_109,veronique,maureen,remi,triplet96,AH,I,I,AH,I,VAHSH,VISH,VISH,0.4671610239446908,0.25264624983748035
A,V_P,maureen_fr_217,veronique_eng_40,jeremy_eng_43,maureen,veronique,jeremy,triplet97,O,AE,AE,AE,O,VOP,VAEP,VAEP,0.5918719356365856,0.4829196567733425
B,Z_S,veronique_eng_20,maureen_fr_116,marc_fr_107,veronique,maureen,marc,triplet98,UH,Y,Y,UH,Y,ZUHS,ZYS,ZYS,0.518587121139721,0.35782968182842506
B,Z_B,maureen_fr_73,veronique_eng_35,ewan_eng_38,maureen,veronique,ewan,triplet99,I,AE,AE,AE,I,ZIB,ZAEB,ZAEB,0.6314834444860399,0.4025601350468426
A,Z_G,maureen_eng_3,veronique_fr_207,marc_fr_207,maureen,veronique,marc,triplet100,UH,A,A,UH,A,ZUHG,ZAG,ZAG,0.44268023862718897,0.4029369346454912
A,Z_V,veronique_fr_164,maureen_eng_100,ewan_eng_101,veronique,maureen,ewan,triplet101,A,AH,AH,AH,A,ZAV,ZAHV,ZAHV,0.4237661421433707,0.43312228534154207
B,V_B,maureen_eng_227,veronique_fr_204,marc_fr_204,maureen,veronique,marc,triplet102,IH,O,O,IH,O,VIHB,VOB,VOB,0.5357177225920924,0.4874082673233235
B,Z_G,maureen_fr_219,veronique_eng_203,ewan_eng_220,maureen,veronique,ewan,triplet103,A,IH,IH,IH,A,ZAG,ZIHG,ZIHG,0.5603658175513725,0.23576201074119965
A,Z_V,veronique_eng_221,maureen_fr_23,marc_fr_18,veronique,maureen,marc,triplet104,IH,U,U,IH,U,ZIHV,ZUV,ZUV,0.838055732019242,0.39274589366587187
A,Z_D,maureen_fr_203,veronique_eng_205,jeremy_eng_216,maureen,veronique,jeremy,triplet105,O,IH,IH,IH,O,ZOD,ZIHD,ZIHD,0.5577815628900775,0.35532299700701997
B,Z_SH,maureen_eng_22,veronique_fr_133,remi_fr_132,maureen,veronique,remi,triplet106,UH,OE,OE,UH,OE,ZUHSH,ZOESH,ZOESH,0.2945499903407836,0.2707405489212884
B,V_SH,maureen_fr_166,veronique_eng_33,ewan_eng_36,maureen,veronique,ewan,triplet107,O,UH,UH,UH,O,VOSH,VUHSH,VUHSH,0.5000388454365414,0.46442004524191277
A,V_G,maureen_eng_45,veronique_fr_95,remi_fr_94,maureen,veronique,remi,triplet108,AE,Y,Y,AE,Y,VAEG,VYG,VYG,0.5363033289556607,0.2991020541291723
A,Z_SH,maureen_fr_170,veronique_eng_48,ewan_eng_52,maureen,veronique,ewan,triplet109,A,AE,AE,AE,A,ZASH,ZAESH,ZAESH,0.4689818780181176,0.4112141008819163
B,SH_S,maureen_eng_31,veronique_fr_107,remi_fr_106,maureen,veronique,remi,triplet110,UH,I,I,UH,I,SHUHS,SHIS,SHIS,0.2468276115527755,0.21252248914975844
B,Z_S,maureen_fr_55,veronique_eng_218,ewan_eng_235,maureen,veronique,ewan,triplet111,E,IH,IH,IH,E,ZES,ZIHS,ZIHS,0.4962402148013071,0.24342323900397547
A,V_F,maureen_eng_121,veronique_fr_159,remi_fr_158,maureen,veronique,remi,triplet112,AH,O,O,AH,O,VAHF,VOF,VOF,0.470258455345875,0.46589739621829707
