CORR_ANS,context,file_OTH,file_TGT,file_X,speaker_OTH,speaker_TGT,speaker_X,tripletid,vowel_OTH,vowel_TGT,vowel_X,vowel_eng,vowel_fr,word_OTH,word_TGT,word_X,distance_OTH,distance_TGT
A,V_B,maureen_eng_77,veronique_fr_194,remi_fr_192,maureen,veronique,remi,triplet84,AH,OE,OE,AH,OE,VAHB,VOEB,VOEB,3.830071123383471,2.4100437424023533
A,V_SH,maureen_fr_36,veronique_eng_60,jeremy_eng_63,maureen,veronique,jeremy,triplet85,U,AE,AE,AE,U,VUSH,VAESH,VAESH,4.683262251484679,3.442188152278253
B,V_P,maureen_eng_14,veronique_fr_44,marc_fr_40,maureen,veronique,marc,triplet86,UH,E,E,UH,E,VUHP,VEP,VEP,2.5951352726356496,1.5271356866558932
B,V_Z,maureen_fr_129,veronique_eng_116,jeremy_eng_120,maureen,veronique,jeremy,triplet87,Y,AH,AH,AH,Y,VYZ,VAHZ,VAHZ,4.1123462017582275,4.046924166390914
A,S_G,maureen_eng_6,veronique_fr_71,remi_fr_221,maureen,veronique,remi,triplet88,UH,I,I,UH,I,SUHG,SIG,SIG,0.2819966274011564,3.276729194303071
A,V_K,veronique_fr_203,maureen_eng_15,jeremy_eng_15,veronique,maureen,jeremy,triplet89,O,UH,UH,UH,O,VOK,VUHK,VUHK,1.628755784445429,3.661046225354093
B,V_F,veronique_eng_59,maureen_fr_68,marc_fr_60,veronique,maureen,marc,triplet90,AE,E,E,AE,E,VAEF,VEF,VEF,4.730452337941454,2.1113993881867508
B,Z_V,maureen_fr_119,veronique_eng_49,ewan_eng_53,maureen,veronique,ewan,triplet91,Y,AE,AE,AE,Y,ZYV,ZAEV,ZAEV,2.904114778155348,3.029520264607248
A,Z_B,veronique_eng_64,maureen_fr_39,marc_fr_34,veronique,maureen,marc,triplet92,AH,E,E,AH,E,ZAHB,ZEB,ZEB,3.065701770951892,0.8572884910042189
A,V_SH,veronique_fr_128,maureen_eng_236,jeremy_eng_238,veronique,maureen,jeremy,triplet93,Y,IH,IH,IH,Y,VYSH,VIHSH,VIHSH,1.4371925469169085,1.183875995078355
B,Z_D,maureen_eng_216,veronique_fr_69,marc_fr_66,maureen,veronique,marc,triplet94,IH,I,I,IH,I,ZIHD,ZID,ZID,0.3004276945298091,0.700764238178143
B,Z_SH,veronique_fr_150,maureen_eng_231,ewan_eng_237,veronique,maureen,ewan,triplet95,O,IH,IH,IH,O,ZOSH,ZIHSH,ZIHSH,3.6687295837717473,1.326379483942624
A,V_SH,veronique_eng_101,maureen_fr_114,remi_fr_109,veronique,maureen,remi,triplet96,AH,I,I,AH,I,VAHSH,VISH,VISH,2.7945053692696162,2.044148844034259
A,V_P,maureen_fr_217,veronique_eng_40,jeremy_eng_43,maureen,veronique,jeremy,triplet97,O,AE,AE,AE,O,VOP,VAEP,VAEP,2.076103621919065,3.330779535707843
B,Z_S,veronique_eng_20,maureen_fr_116,marc_fr_107,veronique,maureen,marc,triplet98,UH,Y,Y,UH,Y,ZUHS,ZYS,ZYS,1.6060684821992761,0.3211536455364323
B,Z_B,maureen_fr_73,veronique_eng_35,ewan_eng_38,maureen,veronique,ewan,triplet99,I,AE,AE,AE,I,ZIB,ZAEB,ZAEB,1.004870588301983,3.1938811185445592
A,Z_G,maureen_eng_3,veronique_fr_207,marc_fr_207,maureen,veronique,marc,triplet100,UH,A,A,UH,A,ZUHG,ZAG,ZAG,0.5054364956711452,4.864606253540648
A,Z_V,veronique_fr_164,maureen_eng_100,ewan_eng_101,veronique,maureen,ewan,triplet101,A,AH,AH,AH,A,ZAV,ZAHV,ZAHV,2.963543345156082,1.5944062764664002
