orig_file,indexnumber,int_name,int_filename,speaker,vowel,context,language
stimuli/Jeremy_ABX_ENG_clean.wav,131,SAHF,jeremy_eng_131,jeremy,AH,S_F,eng
stimuli/Jeremy_ABX_ENG_clean.wav,132,SAHSH,jeremy_eng_132,jeremy,AH,S_SH,eng
stimuli/Jeremy_ABX_ENG_clean.wav,133,SAHV,jeremy_eng_133,jeremy,AH,S_V,eng
stimuli/Jeremy_ABX_ENG_clean.wav,134,FAHF,jeremy_eng_134,jeremy,AH,F_F,eng
stimuli/Jeremy_ABX_ENG_clean.wav,135,FAHSH,jeremy_eng_135,jeremy,AH,F_SH,eng
stimuli/Jeremy_ABX_ENG_clean.wav,136,SHAHZ,jeremy_eng_136,jeremy,AH,SH_Z,eng
stimuli/Jeremy_ABX_ENG_clean.wav,137,SHAHS,jeremy_eng_137,jeremy,AH,SH_S,eng
stimuli/Jeremy_ABX_ENG_clean.wav,138,SHAHF,jeremy_eng_138,jeremy,AH,SH_F,eng
stimuli/Jeremy_ABX_ENG_clean.wav,139,VAHZ,jeremy_eng_139,jeremy,AH,V_Z,eng
stimuli/Jeremy_ABX_ENG_clean.wav,140,VAHS,jeremy_eng_140,jeremy,AH,V_S,eng
stimuli/Jeremy_ABX_ENG_clean.wav,141,VAHSH,jeremy_eng_141,jeremy,AH,V_SH,eng
stimuli/Jeremy_ABX_ENG_clean.wav,142,ZAHZ,jeremy_eng_142,jeremy,AH,Z_Z,eng
stimuli/Jeremy_ABX_ENG_clean.wav,143,ZAHF,jeremy_eng_143,jeremy,AH,Z_F,eng
stimuli/Jeremy_ABX_ENG_clean.wav,144,ZAHSH,jeremy_eng_144,jeremy,AH,Z_SH,eng
stimuli/Jeremy_ABX_ENG_clean.wav,145,ZAHV,jeremy_eng_145,jeremy,AH,Z_V,eng
stimuli/Jeremy_ABX_ENG_clean.wav,146,SAHZ,jeremy_eng_146,jeremy,AH,S_Z,eng
stimuli/Jeremy_ABX_ENG_clean.wav,147,SAHSH,jeremy_eng_147,jeremy,AH,S_SH,eng
stimuli/Jeremy_ABX_ENG_clean.wav,148,SAHV,jeremy_eng_148,jeremy,AH,S_V,eng
stimuli/Jeremy_ABX_ENG_clean.wav,149,FAHF,jeremy_eng_149,jeremy,AH,F_F,eng
stimuli/Jeremy_ABX_ENG_clean.wav,150,FAHSH,jeremy_eng_150,jeremy,AH,F_SH,eng
stimuli/Jeremy_ABX_ENG_clean.wav,151,VAHZ,jeremy_eng_151,jeremy,AH,V_Z,eng
stimuli/Jeremy_ABX_ENG_clean.wav,152,VAHS,jeremy_eng_152,jeremy,AH,V_S,eng
stimuli/Jeremy_ABX_ENG_clean.wav,153,VAHF,jeremy_eng_153,jeremy,AH,V_F,eng
stimuli/Jeremy_ABX_ENG_clean.wav,154,VAHSH,jeremy_eng_154,jeremy,AH,V_SH,eng
stimuli/Jeremy_ABX_ENG_clean.wav,155,VAHV,jeremy_eng_155,jeremy,AH,V_V,eng
stimuli/Jeremy_ABX_ENG_clean.wav,156,ZAHS,jeremy_eng_156,jeremy,AH,Z_S,eng
stimuli/Jeremy_ABX_ENG_clean.wav,157,ZAHF,jeremy_eng_157,jeremy,AH,Z_F,eng
stimuli/Jeremy_ABX_ENG_clean.wav,158,ZAHSH,jeremy_eng_158,jeremy,AH,Z_SH,eng
stimuli/Jeremy_ABX_ENG_clean.wav,159,ZAHV,jeremy_eng_159,jeremy,AH,Z_V,eng
stimuli/Jeremy_ABX_ENG_clean.wav,160,SAHZ,jeremy_eng_160,jeremy,AH,S_Z,eng
stimuli/Jeremy_ABX_ENG_clean.wav,161,SAHF,jeremy_eng_161,jeremy,AH,S_F,eng
stimuli/Jeremy_ABX_ENG_clean.wav,162,FAHF,jeremy_eng_162,jeremy,AH,F_F,eng
stimuli/Jeremy_ABX_ENG_clean.wav,163,SHAHZ,jeremy_eng_163,jeremy,AH,SH_Z,eng
stimuli/Jeremy_ABX_ENG_clean.wav,164,SHAHF,jeremy_eng_164,jeremy,AH,SH_F,eng
stimuli/Jeremy_ABX_ENG_clean.wav,165,SHAHV,jeremy_eng_165,jeremy,AH,SH_V,eng
stimuli/Jeremy_ABX_ENG_clean.wav,166,VAHS,jeremy_eng_166,jeremy,AH,V_S,eng
stimuli/Jeremy_ABX_ENG_clean.wav,167,VAHF,jeremy_eng_167,jeremy,AH,V_F,eng
stimuli/Jeremy_ABX_ENG_clean.wav,168,VAHV,jeremy_eng_168,jeremy,AH,V_V,eng
stimuli/Jeremy_ABX_ENG_clean.wav,169,ZAHP,jeremy_eng_169,jeremy,AH,Z_P,eng
stimuli/Jeremy_ABX_ENG_clean.wav,170,ZAHT,jeremy_eng_170,jeremy,AH,Z_T,eng
stimuli/Jeremy_ABX_ENG_clean.wav,171,ZAHK,jeremy_eng_171,jeremy,AH,Z_K,eng
stimuli/Jeremy_ABX_ENG_clean.wav,172,ZAHG,jeremy_eng_172,jeremy,AH,Z_G,eng
stimuli/Jeremy_ABX_ENG_clean.wav,173,ZAHD,jeremy_eng_173,jeremy,AH,Z_D,eng
stimuli/Jeremy_ABX_ENG_clean.wav,174,SAHT,jeremy_eng_174,jeremy,AH,S_T,eng
stimuli/Jeremy_ABX_ENG_clean.wav,175,SAHG,jeremy_eng_175,jeremy,AH,S_G,eng
stimuli/Jeremy_ABX_ENG_clean.wav,176,FAHP,jeremy_eng_176,jeremy,AH,F_P,eng
stimuli/Jeremy_ABX_ENG_clean.wav,177,FAHT,jeremy_eng_177,jeremy,AH,F_T,eng
stimuli/Jeremy_ABX_ENG_clean.wav,178,FAHG,jeremy_eng_178,jeremy,AH,F_G,eng
stimuli/Jeremy_ABX_ENG_clean.wav,179,FAHB,jeremy_eng_179,jeremy,AH,F_B,eng
